songartist,nn
LUCIO BATTISTI,1
LUCIO BATTISTI,1
LUCIO DALLA,1
LUCIO DALLA,1
LUCIO DALLA,1
LUCIO DALLA,1
LUCIO DALLA,2
LUCIO DALLA & FRANCESCO DE GREGORI,1
LUIGI TENCO,1
LÙNAPOP,2
LUSAINT,3
LUSAINT,3
LUUDE & ISSEY CROSS,1
LUUDE & ISSEY CROSS,1
MACHINE GUN KELLY,2
MACKLEMORE,7
MADAME,5
MAE STEPHENS,2
MANIC STREET PREACHERS,1
MANU CHAO,3
MANUEL AGNELLI,3
MARCELLA BELLA,1
MARCO MENGONI,3
MARCO MENGONI, ELODIE,2
MARIA ANTONIETTA,1
MARIA MENA,1
MAROON 5,1
MAROON 5,1
MARRACASH,4
MARSHMELLO,1
MARVIN GAYE,1
MARVIN GAYE,1
MARVIN GAYE,1
MASEGO,1
MATIA BAZAR,1
MAX GAZZÈ,2
MAX GAZZÈ,2
MAYRA ANDRADE,1
MAZZY STAR,1
MEGHAN TRAINOR,3
MEIKO KAJI,1
MIA MARTINI & ROBERTO MUROLO,2
MICHAEL BUBLÉ,1
MICHAEL GRAY,1
MICHAEL JACKSON,1
MICHAEL JACKSON,1
MIKE OLDFIELD,1
MILEY CYRUS,11
MILEY CYRUS,4
MINA,1
MINA,1
MINA,1
MINA,1
MISSY ELLIOTT,1
MITSKI,4
MOBY,1
MOLOKO,1
MORCHEEBA,1
MS. LAURYN HILL,1
NADA,1
NAS & DAMIAN MARLEY,1
NAT KING COLE,1
NATALINO OTTO,1
NEFFA,3
NEFFA,1
NEGRAMARO,6
NEGRAMARO,1
NEGRAMARO, ELISA, JOVANOTTI,3
NEGRITA,2
NEIL YOUNG,2
NEW TROLLS,2
NIALL HORAN,5
NIALL HORAN,3
NICK CAVE & THE BAD SEEDS,1
NICK DRAKE,1
NICK MULVEY,3
NICOLA DI BARI,1
NINA SIMONE,1
NINO MANFREDI,1
NIRVANA,1
NOEL GALLAGHER'S HIGH FLYING BIRDS,4
NOEL GALLAGHER'S HIGH FLYING BIRDS,2
OASIS,1
OASIS,2
OCEANVS ORIENTALIS,1
OI VA VOI,1
OLIVER HELDENS & DJS FROM MARS,1
OLIVIA RODRIGO,1
ONEREPUBLIC,1
ONEREPUBLIC,2
ONEREPUBLIC, ASSASSIN'S CREED, MISHAAL TAMER,3
ORNELLA VANONI,1
ORNELLA VANONI, TOQUINHO, VINICIUS DE MORAES,1
OROFINO,2
OTIS REDDING,2
OTTO OHM,2
PAOLO CONTE,1
PAOLO NUTINI,2
PASSENGERS & LUCIANO PAVAROTTI,2
PATTY PRAVO,2
PAUL & FRITZ KALKBRENNER,2
PAUL RUSSELL,2
PEARL JAM,1
PEARL JAM,1
PEGGY GOU,1
PEGGY GOU,3
PEGGY GOU, LENNY KRAVITZ,2
PETER GABRIEL,1
PETER GABRIEL,1
PHARRELL WILLIAMS,1
PHATS & SMALL PRES. MUTANT DISCO,1
PIERO PELÙ,1
PINGUINI TATTICI NUCLEARI,4
PINGUINI TATTICI NUCLEARI,6
PINGUINI TATTICI NUCLEARI,3
PINGUINI TATTICI NUCLEARI,3
