songartist;songtitle;nn;anno
HOZIER;Eat Your Young;1;2023
IL COMPLESSO MISTERIOSO;Christmas with the Yours;1;2023
IMAGINE DRAGONS;Symphony;5;2023
IMAGINE DRAGONS;Waves;2;2023
INDY STINTY;Comunque Auguri (feat. J Ax & Marco Mengoni);1;2023
INHALER;If You're Gonna Break My Heart;2;2023
INHALER;Love Will Get You There;2;2023
IRON MAIDEN;The Number Of The Beast;1;2023
IVANO FOSSATI;Il bacio sulla bocca;2;2023
J.J. CALE;Call Me The Breeze;1;2023
JACOB BELLENS;Untouchable;1;2023
JACOB BELLENS;Untouchable (Radio Edit);1;2023
JAKE SHEARS;Too Much Music;3;2023
JAMES BROWN;I Got You (I Feel Good);2;2023
JAMES TAYLOR;You've Got A Friend;1;2023
JAMIROQUAI;Space Cowboy (David Morales Classic Club Remix);1;2023
JAYDEE;Plastic Dreams;1;2023
JEFF BUCKLEY;Last Goodbye;1;2023
JEFF BUCKLEY;Lover, You Should Ve Come Over;1;2023
JESS GLYNNE;Silly Me;3;2023
JILL JONES;Intro (Baby You're A Trip), Mia Bocca;1;2023
JIM CROCE;Bad Bad Leroy Brown;2;2023
JIMI HENDRIX;Little Wing;3;2023
JIMMY FONTANA;Il Mondo;2;2023
JOEL CORRY, RAYE & DAVID GUETTA;BED;1;2023
JOHN PAUL YOUNG;Love Is in the Air;1;2023
JOHN PRINCEKIN;JPK;1;2023
JOHN TRAVOLTA & OLIVIA NEWTON-JOHN;You're The One That I Want;2;2023
JON BATISTE;Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo);1;2023
JOSÉ GONZÁLEZ;Heartbeats;1;2023
JOVANOTTI;Gente della notte;3;2023
JOVANOTTI;Mi fido di te;1;2023
JOVANOTTI;Un raggio di sole;1;2023
JULIETA VENEGAS;Me voy;1;2023
JULIO IGLESIAS;Se Mi Lasci Non Vale;4;2023
JUNG KOOK;Seven (feat. Latto);2;2023
JUNGLE;Back On 74;6;2023
JUSTIN TIMBERLAKE;CAN'T STOP THE FEELING!;1;2023
JVKE;golden hour;5;2023
